"","name","rating","n_ratings","lat","lon"
"139","The Mexican",4.5,7415,52.4092015,16.9358537
"140","BNP Paribas Bank Polska",2.5,60,52.4117103,16.9347707
"141","HigH - Riding School",4.8,218,52.4083198,16.9404824
"142","Grota Solna-Stary Rynek",4.8,87,52.4070714,16.9341722
"143","Pekin",4.2,3122,52.4104572,16.9296813
"144","District Court Poznań - Nowe Miasto and Wilda",2.1,49,52.4112215,16.929324
"145","Pomnik Karola Marcinkowskiego",4.6,41,52.4103864,16.9293348
"146","CCS Druk Cyfrowy Sp. z o.o.",4.3,1304,52.4091925,16.9270071
"147","Dialekt Group Sp. z o.o. Sp.k.",3.7,26,52.4141483,16.9213525
"148","AZS Poznań",4.6,60,52.4134503,16.9168692
"149","Żabka",4.1,192,52.4131473,16.9224784
"150","NuOrder Group",NA,NA,52.4126444,16.931791
"151","La Bottega",4.7,747,52.412365,16.931871
"152","MAGAZYN Food Concept",4.5,389,52.4197553,16.9214935
"153","Salon meblowy Design24 Poznań | Nowoczesne meble do salonu",4.8,39,52.4241703,16.9254839
"154","AZS Akademicki Związek Sportowy",4.1,161,52.418002,16.9231792
