Polish Theater in Poznan 1875,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,7,12,15,18,20,21,21,21,0,0,0,0,0,0,0,0,0,0,21,43,50,43,37,36,30,23,18,17,0,0,0,0,0,0,0,0,13,26,40,47,46,37,24,11,1,1,0,0,0,0,0,0,0,0,14,27,39,46,45,37,25,13,10,24,0,0,0,0,0,0,0,0,8,18,27,32,31,24,15,9,11,27,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,7,12,15,18,20,21,21,21,0,0,0,0,0,0,0,0,0,0,21,43,50,43
Apollo Cinema,0,0,0,0,0,0,0,2,10,29,58,79,73,52,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2,3,4,5,0,0,0,0,0,0,0,1,1,0,0,1,2,7,16,33,51,64,0,0,0,0,0,0,0,0,0,0,0,3,16,48,82,91,95,100,0,0,0,0,0,0,0,0,0,0,0,2,10,29,58,79,73,52,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Apteka. Dom Leków,0,0,0,0,19,36,31,41,57,57,49,44,33,12,0,0,0,0,0,63,31,52,74,79,68,53,50,57,63,65,55,41,0,0,0,0,0,31,60,76,69,60,66,82,93,92,80,61,41,23,0,0,0,0,0,22,42,66,79,77,65,55,58,73,84,79,58,33,0,0,0,0,0,30,52,76,93,100,95,84,73,63,57,49,39,28,0,0,0,0,0,23,38,53,68,79,84,79,69,61,58,63,66,57,0,0,0,0,0,0,0,0,36,46,46,39,38,41,36,34,52,47,0,0,0,0,0,0,0,0,19,36,31,41,57,57,49,44,33,12,0,0,0,0,0,63,31,52,74,79,68,53,50,57,63,65,55,41,0,0,0,0,0,31,60,76,69,60
Żabka,0,0,0,0,0,46,53,53,50,50,53,66,80,70,0,0,0,0,0,3,3,3,6,16,23,33,36,40,46,66,90,86,50,20,10,0,0,3,3,3,3,10,20,26,36,43,50,53,53,50,46,40,30,0,0,3,3,6,16,23,23,26,33,46,63,76,83,80,70,53,36,0,0,3,6,13,20,26,33,40,43,46,50,56,63,70,70,66,53,0,0,3,13,23,33,40,46,46,46,43,46,50,60,70,76,70,53,0,0,16,20,23,30,40,56,83,100,100,93,86,93,100,100,83,56,0,0,0,0,0,0,46,53,53,50,50,53,66,80,70,0,0,0,0,0,3,3,3,6,16,23,33,36,40,46,66,90,86,50,20,10,0,0,3,3,3,3,10
POLCAN,0,0,37,58,80,92,89,73,51,30,0,0,0,0,0,0,0,0,0,0,48,57,80,73,53,48,50,44,0,0,0,0,0,0,0,0,0,0,48,51,83,98,83,64,51,37,0,0,0,0,0,0,0,0,0,0,46,75,96,100,83,57,37,44,0,0,0,0,0,0,0,0,0,0,53,58,67,62,46,42,50,42,0,0,0,0,0,0,0,0,0,0,37,58,80,92,89,73,51,30,0,0,0,0,0,0,0,0,0,0,48,57,80,73,53,48,50,44,0,0,0,0,0,0,0,0,0,0,48,51,83,98,83,64,51,37,0,0,0,0,0,0,0,0,0,0,46,75,96,100,83,57,37,44,0,0,0,0,0,0,0,0,0,0,53,58,67,62
"SpecShop.pl - Militaria, Strzelectwo, Samoobrona",0,0,0,41,61,67,61,52,47,38,27,0,0,0,0,0,0,0,0,0,0,29,38,41,39,36,44,55,52,0,0,0,0,0,0,0,0,0,0,43,65,67,51,39,39,39,32,0,0,0,0,0,0,0,0,0,0,27,43,58,66,66,56,41,26,0,0,0,0,0,0,0,0,0,0,32,54,76,80,65,45,78,100,0,0,0,0,0,0,0,0,0,0,26,56,86,78,43,0,0,0,0,0,0,0,0,0,0,0,0,0,41,61,67,61,52,47,38,27,0,0,0,0,0,0,0,0,0,0,29,38,41,39,36,44,55,52,0,0,0,0,0,0,0,0,0,0,43,65,67,51,39,39,39,32,0,0,0,0,0,0,0,0,0,0,27,43,58
Centrum Kultury Zamek,0,0,0,0,0,0,27,36,39,38,38,41,44,41,0,0,0,0,0,0,0,0,0,0,29,24,19,17,21,29,34,32,0,0,0,0,0,0,0,0,0,0,44,38,29,23,23,30,37,36,0,0,0,0,0,0,0,0,0,0,29,26,22,23,31,44,53,54,0,0,0,0,0,0,0,0,0,0,31,31,28,26,30,43,60,69,0,0,0,0,0,0,0,0,0,0,47,49,43,38,44,64,88,100,0,0,0,0,0,0,0,0,0,0,27,36,39,38,38,41,44,41,0,0,0,0,0,0,0,0,0,0,29,24,19,17,21,29,34,32,0,0,0,0,0,0,0,0,0,0,44,38,29,23,23,30,37,36,0,0,0,0,0,0,0,0,0,0
Mollini Ristorante kuchnia włoska,0,0,0,0,0,0,21,26,29,30,31,36,36,28,15,15,10,0,0,0,0,0,0,0,18,22,24,24,26,34,43,42,30,19,11,0,0,0,0,0,0,0,11,16,20,24,31,43,59,69,67,50,29,0,0,0,0,0,0,0,17,24,31,38,47,61,78,85,74,48,24,0,0,0,0,0,0,0,16,37,69,93,89,74,81,100,94,59,23,0,0,0,0,0,0,0,21,26,29,30,31,36,36,28,15,15,10,0,0,0,0,0,0,0,18,22,24,24,26,34,43,42,30,19,11,0,0,0,0,0,0,0,11,16,20,24,31,43,59,69,67,50,29,0,0,0,0,0,0,0,17,24,31,38,47,61,78,85,74,48,24,0,0,0,0,0,0,0
Trekker Sport,0,0,0,0,43,73,61,65,79,80,70,52,34,0,0,0,0,0,0,0,0,0,39,64,69,66,75,89,85,64,35,0,0,0,0,0,0,0,0,0,37,62,69,60,58,73,79,65,39,0,0,0,0,0,0,0,0,0,29,53,75,82,67,50,52,69,56,0,0,0,0,0,0,0,0,0,29,60,73,66,70,89,96,76,43,0,0,0,0,0,0,0,0,0,61,100,88,100,69,0,0,0,0,0,0,0,0,0,0,0,0,0,43,73,61,65,79,80,70,52,34,0,0,0,0,0,0,0,0,0,39,64,69,66,75,89,85,64,35,0,0,0,0,0,0,0,0,0,37,62,69,60,58,73,79,65,39,0,0,0,0,0,0,0,0,0,29,53
Specjalistyczny Okulistyczny Niepubliczny Zakład Opieki Zdrowotnej OCU SERVICE,0,0,41,66,77,77,82,94,100,91,72,50,0,0,0,0,0,0,0,0,3,18,41,40,32,43,60,68,62,44,0,0,0,0,0,0,0,0,28,45,54,53,50,48,47,42,33,22,0,0,0,0,0,0,0,0,24,43,60,66,59,51,52,58,57,42,0,0,0,0,0,0,0,0,6,13,21,25,22,15,0,0,0,0,0,0,0,0,0,0,0,0,41,66,77,77,82,94,100,91,72,50,0,0,0,0,0,0,0,0,3,18,41,40,32,43,60,68,62,44,0,0,0,0,0,0,0,0,28,45,54,53,50,48,47,42,33,22,0,0,0,0,0,0,0,0,24,43,60,66,59,51,52,58,57,42,0,0,0,0,0,0,0,0,6,13,21,25
